code,description,symptoms
K29.7,"Gastritas, nepatikslintas","skrandžio skausmas, nevirškinimas, pykinimas, pilvo pilnumas pavalgius, maudžia skrandį"
N40,Prostatos hiperplazija,"silpna šlapimo srovė, sunku pradėti šlapintis, dažnas kėlimasis naktį, prostata, urologinės problemos"
N80.9,"Endometriozė, nepatikslinta","skausmingos mėnesinės, lėtinis dubens skausmas, rudos išskyros, pilvo apačios skausmas"
S93.4,Čiurnos sąnario patempimas ir plyšimas,"kryptelėjo koją, ištino čiurna, skauda minti, patempti raiščiai, trauma"
S63.5,Riešo patempimas ir plyšimas,"susitrenkė riešą, skausmas judinant plaštaką, riešo tinimas, patempė ranką"
T14.0,Paviršinis nepatikslintos kūno vietos sužalojimas,"nubrozdinimas, žaizda, įsipjovė, mėlynė, paviršinė trauma, sumušimas"
R05,Kosulys,"sausas kosulys, drėgnas kosulys, kosi, atsikosėja"
R07.4,"Krūtinės ląstos skausmas, nepatikslintas","duria krūtinę, maudžia krūtinės ląstą, skausmas įkvepiant, spaudžia krūtinę"
R51,Galvos skausmas,"skauda galvą, spaudžia smilkinius, migreninis skausmas, tvinkčioja galvoje"
R42,Galvos svaigimas ir svaigulys (vertigo),"svaigsta galva, mėto į šonus, silpnumas, vertigo, praranda pusiausvyrą"
R53,Negalavimas ir nuovargis,"nuolatinis nuovargis, trūksta jėgų, išsekimas, letargija, lėtinis nuovargis"
G54.1,Juosmens ir kryžmens rezginio pažeidimai,"tirpsta koja, skausmas plinta į sėdmenis, radikulitas, sėdimojo nervo uždegimas, ishiasas"
G56.0,Riešo kanalo sindromas,"tirpsta pirštai, skausmas rieše, naktinis rankų tirpimas, tunelinis sindromas, riešo kanalas"
M51.2,Kita patikslinta tarpslankstelinio disko išvarža,"disko išvarža, aštrus skausmas nugaroje, plinta į koją, surakino juosmenį"
M50.1,Kaklo disko liga su radikulopatija,"kaklo skausmas, tirpsta ranka, sunku pasukti galvą, kaklo radikulopatija, sprando skausmas"
E66.9,"Nutukimas, nepatikslintas","antsvoris, didelis KMI, nutukimas, per didelis svoris, viršsvoris"
E78.0,Grynoji hipercholesterolemija,"padidėjęs cholesterolis, blogas kraujo tyrimas, lipidograma, blogieji riebalai"
I83.9,Kojų venų varikozė be opų ar uždegimo,"išsiplėtusios venos, pavargusios kojos, matomi kapiliarai, kojų tinimas vakare"
I70.2,Galūnių arterijų aterosklerozė,"šąla kojos, protarpinis šlubumas, skausmas blauzdose vaikštant, prasta kraujotaka"
L70.0,Paprastieji spuogai (Acne vulgaris),"spuogai, akne, pūlinukai ant veido, inkštirai, bėrimas ant veido"
H10.9,"Konjunktyvitas, nepatikslintas","paraudusi akis, traiškanoja, niežti akį, svetimkūnio jausmas akyje, pūliuoja akis"
M79.1,Mialgija (raumenų skausmas),"skauda raumenis, raumenų tempimas, maudžia visą kūną, raumenų skausmas po krūvio"
